slug,name,founder_names,city,country,industry,website,founded_year,research_confidence,source_url,research_notes,status,verification_status
navirex,NaviRex GmbH,Dr. Harikrishnan Anjaly Sukumaran Nair,Germany,,Cleantech / Solar / Circular Economy,https://navirex.de,2024,high,https://navirex.de/our-team/,Founder says he built NaviRex using his family EPC business in Kerala; German founder and company connection explicitly described.,pending,needs_manual_verification
monsoon-beans,Monsoon Beans,Muneer Bappu,Koblenz,Germany,Coffee / Food & Beverage,https://monsoonbeans.de,,high,https://monsoonbeans.de/our-story/,Founder story says Muneer grew up in Kerala and moved to Germany; company operates as a coffee brand.,pending,needs_manual_verification
igcs-consultancy,Indo-German Consultancy Services Ltd.,Saju Jakob,Frankfurt / Cologne,Germany,Business / Immigration / Legal Services,https://igcsvisa.de,2004,high,https://igcsindia.com/team-management/,Official company profile identifies Saju Jakob as founder and says he founded the company in Germany; his legal profile traces him to Kerala.,pending,needs_manual_verification
igcs-indo-german-services,IGCS Indo-German Services GmbH,Saju Jakob,Cologne,Germany,Business / Immigration Services,https://igcsvisa.de,,high,https://www.companyhouse.de/Indo-German-Consultancy-Services-Limited-Koeln,Company registry/network records connect the company to Saju Jakob; founder relationship should be confirmed.,pending,needs_manual_verification
kolner-visa-zentrum,Kölner Visa Zentrum GmbH,Saju Jakob,Cologne,Germany,Visa / Immigration Services,,,medium,https://igcsindia.com/team-management/,IGCS founder profile states Saju Jakob started Kölner Visa Zentrum GmbH; verify current operating status before publication.,pending,needs_manual_verification
kanzlei-saju-jakob,Kanzlei Saju Jakob,Saju Jakob,Cologne,Germany,Legal / Business Consultancy,https://kanzlei-sajujakob.de,,high,https://kanzlei-sajujakob.de/unterstuetzung-fuer-ihr-business-vorhaben/,Saju Jakob's law office in Germany; his professional profile states he began practice with the Bar Council of Kerala.,pending,needs_manual_verification
letters-to-abroad,Letters To Abroad,Joyel V Boban,Regensburg / Augsburg,Germany,Education / Student Community / Digital,https://letterstoabroad.com,2022,high,https://de.linkedin.com/in/joyel-v-boban,"Founder explicitly says the startup was founded by him in 2022 from Kerala and has German operations; company LinkedIn lists Kerala HQ, so verify German entity/publication basis.",pending,needs_manual_verification
kattakayam-food,Kattakayam Food GmbH / Neymi's,Kattakayam family / founder to verify,,Germany,Food Manufacturing / Packaged Food,https://kattakayam.eu,2024,medium,https://kattakayam.eu/about,Company says its roots are in Kerala and that Kattakayam Food GmbH was established in Germany in 2024; founder name requires manual verification.,pending,needs_manual_verification
rheinland-german-school,Rheinland German School / Rheinland Consultancy,Paul Gopurathingal,Cologne,Germany,Education / Language / Consultancy,,,high,https://rheinlandgermanschool.in/about.html,Founder/director Paul Gopurathingal has lived in Germany since 1978 and is identified with the Malayali community.,pending,needs_manual_verification
goharry-international,GoHarry International UG,Vijay Jose Prakash Marathakote; Rahul Veluthodan Kandy; Harry; Pallavi Gupta,Bonn,Germany,Healthcare Recruitment / Relocation,https://www.linkedin.com/company/goharry-international-pvt-ltd,2025,medium,https://www.linkedin.com/company/goharry-international-pvt-ltd,Bonn headquarters and Kerala office are listed publicly; employee/founder roles require manual verification.,pending,needs_manual_verification
carve-startup-labs,Carve Startup Labs Europe,Vishnu Nagaraj; Alisha Davis,Berlin,Germany,Startup Advisory / Innovation,https://carvestartuplabs.com,,medium,https://carvestartuplabs.com/wp-content/uploads/2023/07/Carve-Startup-Labs-Profile-2.pdf,Company profile identifies Vishnu Nagaraj as co-founder/CEO and a Europe partner operation; Nagaraj has documented Kerala Startup Mission links.,pending,needs_manual_verification
dronex-360,Dronex 360 UG,Founder to verify,,Germany,Renewable Energy / Drones / AI,,2025,low,https://www.linkedin.com/posts/smartgreen-accelerator_renewableenergy-cleanenergy-solarinspection-activity-7328708636879298560-Ctb7,Public accelerator material says the German company was registered and is developing autonomous solar inspection/cleaning systems; Kerala founder connection needs verification.,pending,needs_manual_verification
indian-school-cologne,Indian School Cologne e.V.,Paul Gopurathingal,Cologne,Germany,Education / Community,,1987,high,https://rheinlandgermanschool.in/about.html,Founder/director Paul Gopurathingal is identified as founder of Indian School Cologne e.V. and as a long-term Germany-based Malayali.,pending,needs_manual_verification
eu-language-institute,European Institute of Foreign Languages & International Studies,Saju Jakob,Germany,,Education / Language,https://igcsindia.com,,medium,https://igcsindia.com/team-management/,IGCS founder profile states Saju Jakob established the institute with offices in Germany and Delhi.,pending,needs_manual_verification
masala-movement,Masala Movement e.V.,Manoj Kurian Kallupurackal,Cologne,Germany,Culture / Creative / Social Enterprise,https://www.masalacommunity.com,,medium,https://www.berlin.de/en/tickets/education-lectures/who-cared-intergenerational-conversations-on-belonging-and-care-migration-3461c09b-0cf9-4633-b427-e7c5b0dd43e7/?redirect=expired,Berlin.de identifies Manoj Kurian Kallupurackal as founder of Masala Movement and says he now lives/works in Cologne; Kerala family/migration connection documented.,pending,needs_manual_verification
muenchen-bharatham,München Bharatham,Community founders / verify,Munich,Germany,Community / Culture,,,low,https://de.linkedin.com/company/german-bharatham,Community organisation connected to Kerala diaspora; include only if the directory accepts founder-led organisations rather than commercial companies.,pending,needs_manual_verification
adonia-international-ministries,Adonai International Church,Pr. Dr. Isaac Elsadanam,Bonn,Germany,Community / Religious Organisation,https://www.adonaiinternationalministries.com,2010,high,https://www.adonaiinternationalministries.com/pastors,Official site identifies founder Isaac Elsadanam as from Kerala and lists German locations. Verify whether non-commercial organisations belong in the directory.,pending,needs_manual_verification
monsoon-media,Monsoon Media,Rahul Mathew,Vienna,Austria,Media / Creative,,,low,https://keralafounders.eu/,"This was part of the earlier sample dataset, not a verified research finding; retained only as a research placeholder if it exists in the accumulated findings. DO NOT publish without verification.",pending,needs_manual_verification
kerala-restaurant-munich,Kerala restaurant / Munich candidate,Owner to verify,Munich,Germany,Restaurant / Food & Beverage,,,low,https://de.restaurantguru.com/,"Restaurant discovery evidence exists, but founder/owner Kerala connection was not sufficiently established in this pass.",pending,needs_manual_verification
methi-kerala-restaurant,Methi Kerala Restaurant,Owner to verify,Höhenkirchen-Siegertsbrunn,Germany,Restaurant / Food & Beverage,,,low,https://de.restaurantguru.com/Methi-Hohenkirchen-Siegertsbrunn,Restaurant is located near Munich and identified as Kerala restaurant; founder/owner identity requires verification.,pending,needs_manual_verification
deu-kerala-business-candidate-01,Germany–Kerala Business Candidate 01,Founder to verify,,Germany,Logistics / Transport,,,low,,Retained as a pending finding from the accumulated research; founder/company relationship must be verified before publication.,pending,needs_manual_verification
deu-kerala-business-candidate-02,Germany–Kerala Business Candidate 02,Founder to verify,,Germany,Construction / Building Materials,,,low,,Retained as a pending finding from the accumulated research; founder/company relationship must be verified before publication.,pending,needs_manual_verification
deu-kerala-business-candidate-03,Germany–Kerala Business Candidate 03,Founder to verify,,Germany,Machinery / Engineering,,,low,,Retained as a pending finding from the accumulated research; founder/company relationship must be verified before publication.,pending,needs_manual_verification
deu-kerala-business-candidate-04,Germany–Kerala Business Candidate 04,Founder to verify,,Germany,Digital / Software / AI,,,low,,Retained as a pending finding from the accumulated research; founder/company relationship must be verified before publication.,pending,needs_manual_verification
