id,slug,name,website,industry,size,founded_year,country,city,location,description,status,verified,created_at,contact_email,email_type,email_source,email_confidence,email_source_url,email_search_status
12,monsoon-beans,Monsoon Beans,https://monsoonbeans.de,Coffee / Food & Beverage,,,Germany,Koblenz,"Koblenz, Germany","Coffee / Food & Beverage company founded by Muneer Bappu in Koblenz, Germany.",approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
13,igcs-consultancy,Indo-German Consultancy Services Ltd.,https://igcsvisa.de,Business / Immigration / Legal Services,,2004,Germany,Frankfurt,"Frankfurt, Germany","Business / Immigration / Legal Services company founded by Saju Jakob in Frankfurt, Germany.",approved,0,2026-08-25 20:24:32,info@igcsvisa.de,Business/public contact,Official website,High,https://igcsvisa.de/impressum/,Found
14,igcs-indo-german-services,IGCS Indo-German Services GmbH,https://igcsvisa.de,Business / Immigration Services,,,Germany,Cologne,"Cologne, Germany","Business / Immigration Services company founded by Saju Jakob in Cologne, Germany.",approved,0,2026-08-25 20:24:32,info@igcsvisa.de,Business/public contact,Official website,High,https://igcsvisa.de/impressum/,Found
15,kolner-visa-zentrum,Kölner Visa Zentrum GmbH,,Visa / Immigration Services,,,Germany,Cologne,"Cologne, Germany","Visa / Immigration Services company founded by Saju Jakob in Cologne, Germany.",approved,0,2026-08-25 20:24:32,info@k-v-z.de,Business/public contact,Official website,High,https://k-v-z.de/kontakt/,Found
16,kanzlei-saju-jakob,Kanzlei Saju Jakob,https://kanzlei-sajujakob.de,Legal / Business Consultancy,,,Germany,Cologne,"Cologne, Germany","Legal / Business Consultancy company founded by Saju Jakob in Cologne, Germany.",approved,0,2026-08-25 20:24:32,info@kanzlei-sajujakob.de,Business/public contact,Official website,High,https://kanzlei-sajujakob.de/kontakt/,Found
17,letters-to-abroad,Letters To Abroad,https://letterstoabroad.com,Education / Student Community / Digital,,2022,Germany,Regensburg,"Regensburg, Germany","Education / Student Community / Digital company founded by Joyel V Boban in Regensburg, Germany.",approved,0,2026-08-25 20:24:32,info@letterstoabroad.com,Business/public contact,Official website,High,https://letterstoabroad.com/,Found
18,goharry-international,GoHarry International UG,https://www.linkedin.com/company/goharry-international-pvt-ltd,Healthcare Recruitment / Relocation,,2025,Germany,Bonn,"Bonn, Germany","Healthcare Recruitment / Relocation company founded by Vijay Jose Prakash Marathakote, Rahul Veluthodan Kandy, Harry, Pallavi Gupta in Bonn, Germany.",approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
19,carve-startup-labs,Carve Startup Labs Europe,https://carvestartuplabs.com,Startup Advisory / Innovation,,,Germany,Berlin,"Berlin, Germany","Startup Advisory / Innovation company founded by Vishnu Nagaraj, Alisha Davis in Berlin, Germany.",approved,0,2026-08-25 20:24:32,info@carvestartuplabs.com,Business/public contact,Company LinkedIn,Medium,https://de.linkedin.com/company/carvestartuplabs,Found
20,eu-language-institute,European Institute of Foreign Languages & International Studies,https://igcsindia.com,Education / Language,,,Germany,,Germany,Education / Language company founded by Saju Jakob in Germany.,approved,0,2026-08-25 20:24:32,,,,,,Not found in current web pass
21,cied-bv-rightorigins,CIED B.V. / RightOrigins,https://rightorigins.com,AI / AgTech / Supply Chain / Sustainability,,2017,Netherlands,Heerlen,"Heerlen, Netherlands","AI / AgTech / Supply Chain / Sustainability company founded by Akash Mathew, Sudeesh Narayanan in Heerlen, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
22,loopit-ai,LoopIt.ai,,AI / Automotive / InsurTech,,2024,Netherlands,Best,"Best, Netherlands","AI / Automotive / InsurTech company founded by Paul Varghese in Best, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
23,codelattice-netherlands,Codelattice,https://www.codelattice.com,AI / Software / Digital,,,Netherlands,,Netherlands,AI / Software / Digital company founded by Vijith Sivadasan in Netherlands.,approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
24,charlies-pickles,Charlie's Pickles,https://charliespickles.com,Food / Consumer,,2026,Netherlands,Amsterdam,"Amsterdam, Netherlands","Food / Consumer company founded by Tony John in Amsterdam, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
25,fudd-marketing,Fudd Marketing & Communications,,Digital / Food Marketing,,,Netherlands,Almere,"Almere, Netherlands","Digital / Food Marketing company founded by Adil Latheef in Almere, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
26,dot-in,DOT-IN,,Restaurant / Kerala Food,,,Netherlands,Amsterdam,"Amsterdam, Netherlands","Restaurant / Kerala Food company founded by Shibin Mathew in Amsterdam, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
27,mindful-yogis,Mindful Yogis,,Wellness / Yoga,,,Netherlands,Amsterdam,"Amsterdam, Netherlands","Wellness / Yoga company founded by Karthikeyan Sethuraman in Amsterdam, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
28,beta-group,Beta Group,,Food Manufacturing / Cashew / Distribution / Logistics / Trading,,,Netherlands,,Netherlands,Food Manufacturing / Cashew / Distribution / Logistics / Trading company founded by J. Rajmohan Pillai in Netherlands.,approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
29,sreekrishna-ayurveda,Sreekrishna Ayurveda Holistic Centre B.V.,https://sreekrishnaayurveda.com,Healthcare / Ayurveda / Wellness,,,Netherlands,Amsterdam,"Amsterdam, Netherlands","Healthcare / Ayurveda / Wellness company founded by Dr. Vijith Sasidhar in Amsterdam, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
30,adukkala,Adukkala – The Kerala Kitchen,https://adukkala.nl,Restaurant / Catering / Cloud Kitchen,,,Netherlands,Nieuwegein,"Nieuwegein, Netherlands","Restaurant / Catering / Cloud Kitchen company founded by Sangeetha, Gourie in Nieuwegein, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
31,solarbase,Solarbase,,Solar / Renewable Energy / Engineering,,,Netherlands,Egmond aan Zee,"Egmond aan Zee, Netherlands","Solar / Renewable Energy / Engineering company founded by Muhammed Rabeeh in Egmond aan Zee, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
32,kerala-kitchen-eindhoven,Kerala Kitchen Eindhoven,,Restaurant / Catering,,2020,Netherlands,Eindhoven,"Eindhoven, Netherlands","Restaurant / Catering company founded by Reema Cherian in Eindhoven, Netherlands.",approved,0,2026-08-25 20:24:43,,,,,,Not found in current web pass
33,nestabide,NestAbide,https://nestabide.com,Construction / Architecture / Climate Resilience,,,Netherlands,Delft,"Delft, Netherlands","Construction / Architecture / Climate Resilience company founded by Nanma Gireesh, Ben K George in Delft, Netherlands.",approved,0,2026-08-25 20:24:43,nestabide@gmail.com,Business/public contact,Official website,High,https://nestabide.com/,Found
34,nila-restaurants-berlin,NILA Restaurants Berlin,https://nilakitchen.de/,Restaurant / South Indian / Kerala Food,,2023,Germany,Berlin,"Berlin, Germany","Restaurant / South Indian / Kerala Food company founded by Joby Jose, Melvin Babu in Berlin, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
35,malabar-restaurant-burgdorf,Malabar Kerala Restaurant,https://malabaronline.eu/,Restaurant / South Indian / Kerala Food,,,Germany,Burgdorf,"Burgdorf, Germany","Restaurant / South Indian / Kerala Food company founded by Shaji Kurian in Burgdorf, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
36,thanima-kerala-restaurant-hamburg,Thanima Kerala Restaurant,https://www.thanimakeralarestaurant-hamburg.de/,Restaurant / Kerala Food,,,Germany,Hamburg,"Hamburg, Germany","Restaurant / Kerala Food company in Hamburg, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
37,kerala-kueche-ug-hamburg,Kerala Küche UG (haftungsbeschränkt),,Restaurant / Kerala Food / Catering / Food Retail,,2026,Germany,Hamburg,"Hamburg, Germany","Restaurant / Kerala Food / Catering / Food Retail company founded by Soumya Sankaran Padmakshan in Hamburg, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
38,foodeza,FOODEZA,https://foodeza.de/,Food Truck / Kerala Catering,,,Germany,Mühlacker,"Mühlacker, Germany","Food Truck / Kerala Catering company founded by Jobins, Christeena in Mühlacker, Germany.",approved,0,2026-08-25 20:40:38,foodezacuisine@gmail.com,Business/public contact,Official website,High,https://foodeza.de/,Found
39,kerala-kitchen-sankt-augustin,Kerala Kitchen,https://keralakitchen.de/,Catering / Kerala Food,,,Germany,Sankt Augustin,"Sankt Augustin, Germany","Catering / Kerala Food company in Sankt Augustin, Germany.",approved,0,2026-08-25 20:40:38,mail@keralakitchen.de,Business/public contact,Official website,High,https://keralakitchen.de/,Found
40,dixons-kitchen-dortmund,Dixon's Kitchen,https://www.dixons-kitchen.de/,Restaurant / South Indian / Kerala Food,,,Germany,Dortmund,"Dortmund, Germany","Restaurant / South Indian / Kerala Food company founded by Dixon Pathrose in Dortmund, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
41,jhasvik-duesseldorf,Jhasvik,https://jhasvik.de/,Restaurant / South Indian / Kerala Food,,,Germany,Düsseldorf,"Düsseldorf, Germany","Restaurant / South Indian / Kerala Food company founded by Prakash Mohan in Düsseldorf, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
42,curry-leaves-kerala-restaurant-hannover,Curry Leaves Kerala Restaurant,,Restaurant / Kerala Food,,,Germany,Hannover,"Hannover, Germany","Restaurant / Kerala Food company in Hannover, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
43,methi-kerala-restaurant-munich,Methi Kerala Restaurant,https://methi-restaurant.de/,Restaurant / South Indian / Kerala Food,,,Germany,Höhenkirchen-Siegertsbrunn,"Höhenkirchen-Siegertsbrunn, Germany","Restaurant / South Indian / Kerala Food company in Höhenkirchen-Siegertsbrunn, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
44,kerala-restaurant-munich,Kerala Restaurant,https://www.keralarestaurant.de/,Restaurant / Indian / South Indian,,,Germany,Munich,"Munich, Germany","Restaurant / Indian / South Indian company in Munich, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
45,kumba-frankfurt,Kumba Indian Restaurant,https://www.kumbafrankfurt.com/,Restaurant / Indian / South Indian / Kerala Food,,,Germany,Frankfurt,"Frankfurt, Germany","Restaurant / Indian / South Indian / Kerala Food company in Frankfurt am Main, Germany.",approved,0,2026-08-25 20:40:38,info@kumbafrankfurt.com,Business/public contact,Official website,High,https://www.kumbafrankfurt.com/,Found
46,nilavara-restaurant-frechen,Nilavara Restaurant UG,https://www.instagram.com/nilavararestaurant/,Restaurant / South Indian / Kerala-style Food,,,Germany,Frechen,"Frechen, Germany","Restaurant / South Indian / Kerala-style Food company in Frechen, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
47,ammas-food-dortmund,Amma's Food Dortmund,https://ammasfood.net/,Restaurant / South Indian / Catering,,,Germany,Dortmund,"Dortmund, Germany","Restaurant / South Indian / Catering company in Dortmund, Germany.",approved,0,2026-08-25 20:40:38,s.asvini@hotmail.de,Business/public contact,Official website/imprint,High,https://ammasfood.net/,Found
48,southern-spice-aachen,The Southern Spice,https://www.thesouthernspice-aachen.de/,Restaurant / South Indian / Kerala-style Food,,,Germany,Aachen,"Aachen, Germany","Restaurant / South Indian / Kerala-style Food company in Aachen, Germany.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
49,malabar-cafe-brandenburg,Malabar Restaurant & Café,https://www.restaurant-malabar.de/,Restaurant / Café / Indian Food,,,Germany,Brandenburg an der Havel,"Brandenburg an der Havel, Germany","Restaurant / Café / Indian Food company founded by S. Sindhu (listed proprietor) in Brandenburg an der Havel, Germany.",approved,0,2026-08-25 20:40:38,mail@restaurant-malabar.de,Business/public contact,Business directory / tourism listing,Medium,https://www.brandenburg-tourism.com/poi/havelland/gastronomy/restaurant-malabar/,Found
50,german-malayali-store,German Malayali Store,https://www.germanmalayalistore.de/,Kerala Grocery / Food Retail / Online Retail,,,Germany,Leverkusen,"Leverkusen, Germany","Kerala Grocery / Food Retail / Online Retail company founded by Binish Pappachan Abraham in Leverkusen, Germany.",approved,0,2026-08-25 20:40:38,germanmalayalistore@gmail.com,Business/public contact,Official website,High,https://www.germanmalayalistore.de/contact,Found
51,inaivaa-dortmund,Inaivaa,https://www.inaivaa.com/,Kerala Grocery / South Asian Food Retail,,2023,Germany,Dortmund,"Dortmund, Germany","Kerala Grocery / South Asian Food Retail company in Dortmund, Germany.",approved,0,2026-08-25 20:40:38,info@inaivaa.com,Business/public contact,Official website,High,https://www.inaivaa.com/visit-store,Found
52,wanakam-amsterdam,Wanakam,https://wanakam.club/,Café / Chai Bar / Cultural Space,,,Netherlands,Amsterdam,"Amsterdam, Netherlands","Café / Chai Bar / Cultural Space company founded by Jimmy Varghese, Gaurav Singhal, Shanti Voorn, Manuel Buonamiko in Amsterdam, Netherlands.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
53,indian-koffie-house-almere,Indian Koffie House,https://www.indiankoffiehouse.com/,Café / Takeaway / Catering,,,Netherlands,Almere,"Almere, Netherlands","Café / Takeaway / Catering company founded by Naveen Gopi in Almere, Netherlands.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
54,my-indian-kitchen-eindhoven,My Indian Kitchen,,Catering / Home Food / Kerala Snacks,,,Netherlands,Eindhoven,"Eindhoven, Netherlands","Catering / Home Food / Kerala Snacks company in Eindhoven, Netherlands.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
55,indilicious-maastricht,Indilicious,https://www.indilicious.nl/,Catering / Takeaway / Kerala Sadya,,,Netherlands,Maastricht,"Maastricht, Netherlands","Catering / Takeaway / Kerala Sadya company in Maastricht, Netherlands.",approved,0,2026-08-25 20:40:38,info@indilicious.nl,Business/public contact,Official website,High,https://www.indilicious.nl/,Found
56,startupbridge,StartupBridge,,Startup Advisory / Internationalisation,,,Belgium,Brussels,"Brussels, Belgium","Startup Advisory / Internationalisation company founded by Ebin Ephrem Elavathingal in Brussels, Belgium.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
57,ebin-cat-entertainments,CAT Entertainments,,Digital Media / Production,,,Belgium,,"Belgium connection, Belgium","Digital Media / Production company founded by Ebin Ephrem Elavathingal in Belgium connection, Belgium.",approved,0,2026-08-25 20:40:38,,,,,,Not found in current web pass
58,kallu-and-co,Kallu & Co,,Restaurant / Kerala Food,,,France,Paris,"Paris, France","Restaurant / Kerala Food company founded by Alex Jerry, Grishma Satpathy, Ashik Roy in Paris, France.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
59,mama-spice,Mama Spice,https://mama-spice.com/,Restaurant / Kerala Food,,,France,Marseille,"Marseille, France","Restaurant / Kerala Food company founded by Devaky Sivadasan in Marseille, France.",approved,0,2026-08-25 19:20:49,contact@mama-spice.com,Business/public contact,Official website,High,https://mama-spice.com/,Found
60,girelle-production,Girelle Production,,Media / Creative,,,France,,France,Media / Creative company founded by Vinnie Ann Bose in France.,approved,0,2026-08-25 19:20:49,christophe@girelle.com,Business/public contact,Industry directory,Medium,https://www.afca.asso.fr/professionnels/structures/1224%2CGirelle-Production,Found
61,3-leaves,3 Leaves,https://3leaves.ie/,Restaurant / Indian / South Indian,,,Ireland,Dublin,"Dublin, Ireland","Restaurant / Indian / South Indian company founded by Santhosh Thomas, Milli Mathew in Dublin, Ireland.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
62,kasi-cafe,Kasi Café,https://kasikitchen.com/,Restaurant / South Indian / Kerala Food,,,Ireland,Dublin,"Dublin, Ireland","Restaurant / South Indian / Kerala Food company founded by Daril Chamakkalayil Thomas, Dipin Chamakkalayil Thomas in Dublin, Ireland.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
63,indian-spice-kitchen,Indian Spice Kitchen,https://indianspice-kitchen.ie/,Restaurant / South Indian / Kerala Food,,,Ireland,Cork,"Cork, Ireland","Restaurant / South Indian / Kerala Food company founded by Jessily Panicker, Dinesh John in Cork, Ireland.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
64,olivez,Olivez,https://www.olivez.ie/,Restaurant / South Indian / Kerala Food,,,Ireland,Dublin,"Dublin, Ireland","Restaurant / South Indian / Kerala Food company founded by Abraham Mathew in Dublin, Ireland.",approved,0,2026-08-25 19:20:49,olivezireland@gmail.com,Business/public contact,Official booking site,High,https://booking.olivez.ie/,Found
65,pulari-restaurant,Pulari Restaurant,https://www.pulari.ie/,Restaurant / South Indian / Kerala Food,,,Ireland,Dublin,"Dublin, Ireland","Restaurant / South Indian / Kerala Food company founded by Bijukuttan in Dublin, Ireland.",approved,0,2026-08-25 19:20:49,pularidesicafe@gmail.com,Business/public contact,Official website,High,https://www.pulari.ie/,Found
66,kerala-royal-caterers,Kerala Royal Caterers,https://www.royalcatersdublin.com/,Catering / Kerala Food,,,Ireland,Ashbourne,"Ashbourne, Ireland","Catering / Kerala Food company founded by Abhilash in Ashbourne, Ireland.",approved,0,2026-08-25 19:20:49,keralaroyalcaters@gmail.com,Business/public contact,Official website,High,https://www.royalcatersdublin.com/contact.html,Found
67,smaqo-foods,SMAQO / Smaqo Foods AB,https://smaqo.com/,Food Technology,,,Sweden,Gothenburg,"Gothenburg, Sweden","Food Technology company founded by Ramkumar Balachandran Nair in Gothenburg, Sweden.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
68,search-indie,Search Indie,https://www.searchindie.com/,AI / Software / Digital,,,Sweden,Stockholm,"Stockholm, Sweden","AI / Software / Digital company founded by Renjith Ramachandran in Stockholm, Sweden.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
69,kerala-kitchen-nykoping,Kerala Kitchen,,Catering / Home Food / Kerala Snacks,,,Sweden,Nyköping,"Nyköping, Sweden","Catering / Home Food / Kerala Snacks company founded by Sreekand Bose Vattappallil in Nyköping, Sweden.",approved,0,2026-08-25 19:20:49,,,,,,Not found in current web pass
70,ayush-consultants,Ayush Consultants s.r.o.,,Professional Services,,,Czechia,Prague,"Prague, Czechia","Professional Services company founded by Ragesh Kumar Kangaparambil Gopalan in Prague, Czechia.",approved,0,2026-08-25 20:30:15,,,,,,Not found in current web pass
71,jpn-international,JPN International s.r.o.,,Professional Services,,,Czechia,Prague,"Prague, Czechia","Professional Services company founded by Jamespaul Jeejo Nooranal, Jeejo Paulose, Bindu Jeejo in Prague, Czechia.",approved,0,2026-08-25 20:30:15,,,,,,Not found in current web pass
72,sandeep-soman,Sandeep Soman,,Professional Services,,,Czechia,Prague,"Prague, Czechia","Professional Services company founded by Sandeep Soman in Prague, Czechia.",approved,0,2026-08-25 20:30:15,,,,,,Not found in current web pass
73,seal-tech,Seal Tech s.r.o.,,Professional Services,,,Czechia,Brno,"Brno, Czechia","Professional Services company founded by Fatima Gasna Cheryakkatt in Brno, Czechia.",approved,0,2026-08-25 20:30:15,,,,,,Not found in current web pass
74,yummy-bites-by-jithu,Yummy Bites by Jithu,https://www.yummybites.lu/,Food / Consumer,,,Luxembourg,Belvaux,"Belvaux, Luxembourg","Food / Consumer company founded by Jithu Davis in Belvaux, Luxembourg.",approved,0,2026-08-25 20:30:15,,,,,,Not found in current web pass
75,atami-sushi-restaurant-denmark,Atami Sushi Restaurant Denmark,,Restaurant / Food & Beverage,,,Denmark,Odense,"Odense, Denmark","Restaurant / Food & Beverage company founded by Tony Mathew in Odense, Denmark.",approved,0,2026-08-25 20:30:32,odense@atami.dk,Business/public contact,Official website,High,https://atami.dk/kontakt,Found
76,little-india-boadilla,Little India Boadilla,https://restaurantelittleindia.com/,Restaurant / Indian / South Indian,,,Spain,Boadilla del Monte,"Boadilla del Monte, Spain","Restaurant / Indian / South Indian company founded by Jeejo Puthenveettil George in Boadilla del Monte, Spain.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
77,indian-aderezo,Indian Aderezo,https://indianaderezo.com/,Restaurant / Indian / South Indian,,,Spain,Valladolid,"Valladolid, Spain","Restaurant / Indian / South Indian company founded by Shiju Ambazhakkadan Devassykutty in Valladolid, Spain.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
78,prosi-pallikunnel,PROSI Pallikunnel KG / PROSI Exotic Supermarket,https://www.prosi.at/,Kerala Grocery / South Asian Food Retail,,,Austria,Vienna,"Vienna, Austria","Kerala Grocery / South Asian Food Retail company founded by Dr. Augustin (Prince) Pallikunnel in Vienna, Austria.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
79,sonnentag-kerala-ayurveda-shop,"Sonnentag, Kerala Ayurveda Shop GmbH",https://www.keralaayurvedashop.at/,Wellness / Ayurveda / Consumer Health,,,Austria,Vienna,"Vienna, Austria","Wellness / Ayurveda / Consumer Health company founded by Lal Karinkada Pushkaran, Julia Karinkada in Vienna, Austria.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
80,karinkada-ayurveda,Karinkada Ayurveda GmbH,https://www.karinkadaayurveda.at/,Manufacturing / Ayurveda / Consumer Products,,,Austria,Purkersdorf,"Purkersdorf, Austria","Manufacturing / Ayurveda / Consumer Products company founded by Lal Karinkada Pushkaran, Julia Karinkada in Purkersdorf, Austria.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
81,thinnan,thinnan,https://www.thinnan.com/,Food Technology,,,Finland,Helsinki,"Helsinki, Finland","Food Technology company founded by Annu Mathew, Kevin Jacob, Vishnu Aravind in Helsinki, Finland.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
82,venturevillage,VentureVillage Oy,https://venturevillage.world/,Education / Research Facilitation,,,Finland,Espoo,"Espoo, Finland","Education / Research Facilitation company founded by Unnikrishnan S. Kurup, Dr. Anup Jinadevan in Espoo, Finland.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
83,gravito,Gravito Oy,https://gravito.fi/,AI / Software / Digital,,,Finland,Espoo,"Espoo, Finland","AI / Software / Digital company founded by Unnikrishnan S. Kurup, Antti Kuronen in Espoo, Finland.",approved,0,2026-08-25 20:30:32,info@gravito.net,Business/public contact,Official website,High,https://www.gravito.net/contact/,Found
84,saraswati,Saraswati,https://www.saraswati.fi/,Healthcare / Ayurveda / Wellness,,,Finland,Helsinki,"Helsinki, Finland","Healthcare / Ayurveda / Wellness company founded by Terry Thomas in Helsinki, Finland.",approved,0,2026-08-25 20:30:32,info@saraswati.fi,Business/public contact,Official website,High,https://www.saraswati.fi/,Found
85,kerala-restaurant-lisbon,Kerala Restaurant,https://keralarestaurant.pt/,Restaurant / Kerala Food,,,Portugal,Lisbon,"Lisbon, Portugal","Restaurant / Kerala Food company founded by Vijeesh Rajan, Thrinisha Mohandas in Lisbon, Portugal.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
86,costa-do-malabar,Costa do Malabar,https://www.costadomalabar.com/,Restaurant / Kerala Food,,,Portugal,Lisbon,"Lisbon, Portugal","Restaurant / Kerala Food company founded by Sunilkumar Bhaskaran in Lisbon, Portugal.",approved,0,2026-08-25 20:30:32,contact@costadomalabar.com,Business/public contact,Official website,High,https://www.costadomalabar.com/contact/,Found
87,swaad,Swaad,https://swaadporto.com/,Restaurant / South Indian / Kerala Food,,,Portugal,Porto,"Porto, Portugal","Restaurant / South Indian / Kerala Food company founded by Rishi Jacob in Porto, Portugal.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
88,curry-clubs,Curry Clubs,https://www.curryclubs.com/,Restaurant / Indian / South Indian,,,Portugal,Albufeira,"Albufeira, Portugal","Restaurant / Indian / South Indian company founded by Alex, Mary in Albufeira, Portugal.",approved,0,2026-08-25 20:30:32,alex@curryclubs.com,Business/public contact,Official site,High,https://curryclubs.com/Home/Restaurants?RestaurantID=UyA2XRRGcGhSeERjCZW9lA%3D%3D,Found
